Basename Frame Social video_Glasses Smile AU02 AU26 AU04 AU05 AU09 negAU12 video_Gender Unilateral_LAU12 Occlusion Trackerfail Unilateral_LAU14 AU57 Time AU58 video_HairBangs AU18 AU15 AU14 AU17 AU10 Unilateral_RAU14 Unilateral_RAU12 Expressive video_Lighting
45236322-eb6f-441c-9a5f-4d455cf3b78b 00000 0.0 0.923 0.0 0.0 0.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00001 0.0 0.923 0.0 0.0 0.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.014 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00002 0.0 0.923 0.0 0.0 0.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.015 0.25 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00003 0.0 0.923 0.0 0.0 0.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.026 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00004 0.0 0.923 0.0 0.0 0.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.06 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00005 0.0 0.923 0.33333 0.0 0.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.07 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33333 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00006 0.0 0.923 0.0 0.0 0.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.086 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33333 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00007 0.0 0.923 0.0 0.0 0.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.101 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33333 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00008 0.0 0.923 0.0 0.0 0.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.106 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33333 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00009 0.0 0.923 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.109 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33333 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00010 0.0 0.923 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.119 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33333 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00011 0.0 0.923 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.12 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33333 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00012 0.0 0.923 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.121 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33333 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00013 0.0 0.923 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.122 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.66667 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00014 0.0 0.923 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.128 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00015 0.0 0.923 0.66667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.13 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.231
45236322-eb6f-441c-9a5f-4d455cf3b78b 00016 0.0 0.923 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.131 0.0 0.462 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.231
