Frame_Start Frame_End Speaker
56,152,RACHEL
152,201,UNKNOWN
203,248,UNKNOWN
251,318,UNKNOWN
321,357,UNKNOWN
357,394,UNKNOWN
414,440,UNKNOWN
440,466,UNKNOWN
467,510,UNKNOWN
585,610,UNKNOWN
656,706,UNKNOWN
729,776,UNKNOWN
779,826,UNKNOWN
966,1016,UNKNOWN
1040,1187,UNKNOWN
1282,1318,UNKNOWN
1318,1353,UNKNOWN
1593,1637,UNKNOWN
1665,1689,STRANGER
1689,1713,RACHEL
1732,1780,STRANGER
1782,1833,RACHEL
1835,1906,STRANGER
1924,1951,RACHEL
2003,2046,STRANGER
3266,3343,UNKNOWN
3344,3499,JOEY
3499,3607,PHOEBE
3607,3655,UNKNOWN
3658,3716,MONICA
3716,3903,PHOEBE
3903,3963,UNKNOWN
3966,4037,MONICA
4061,4136,ROSS
4154,4229,PHOEBE
4231,4278,UNKNOWN
4369,4395,ALL
4417,4441,MONICA
4470,4538,PHOEBE
4539,4575,MONICA
4575,4611,PHOEBE
4634,4719,MONICA
4719,4830,UNKNOWN
4849,4873,PHOEBE
4878,4923,UNKNOWN
5022,5068,UNKNOWN
5089,5139,MONICA
5142,5283,CHANDLER
5283,5329,MONICA
5356,5405,UNKNOWN
5452,5499,PHOEBE
5572,5618,CHANDLER
5622,5717,ROSS
5737,5808,CHANDLER
5836,5909,RACHEL
5958,6026,JOEY
6029,6125,ROSS
6143,6216,JOEY
6220,6288,ALL
6341,6412,ALL
6455,6479,UNKNOWN
6479,6504,CHANDLER
6527,6578,ROSS
6578,6628,UNKNOWN
6629,6674,UNKNOWN
6674,6756,UNKNOWN
6756,6791,UNKNOWN
6818,6868,JOEY
6888,6912,MONICA
6912,6936,ROSS
6938,6989,PHOEBE
7175,7248,UNKNOWN
7250,7395,ROSS
7417,7515,CHANDLER
7534,7570,UNKNOWN
7570,7606,UNKNOWN
7611,7707,JULIE
7729,7845,CHANDLER
7874,7968,ROSS
7970,8019,UNKNOWN
8019,8067,UNKNOWN
8086,8198,RACHEL
8198,8235,UNKNOWN
8254,8520,MONICA
8614,8638,ALL
8638,8662,JOEY
8665,8805,JULIE
8833,8868,PHOEBE
8868,9044,JOEY
9050,9166,CHANDLER
9167,9337,MONICA
9338,9395,UNKNOWN
9395,9505,UNKNOWN
9550,9599,PHOEBE
9601,9669,UNKNOWN
9819,9913,ROSS
10101,10149,UNKNOWN
10175,10211,ROSS
10211,10247,JULIE
10488,10555,ROSS
10581,10604,RACHEL
10604,10627,ROSS
10653,10678,RACHEL
10678,10703,ROSS
10750,10836,ROSS
10836,11107,RACHEL
11133,11253,ROSS
11322,11376,RACHEL
11445,11589,ROSS
11589,11638,UNKNOWN
11660,11826,RACHEL
11826,11873,UNKNOWN
11875,11928,ROSS
11974,12214,RACHEL
12235,12272,UNKNOWN
12272,12309,UNKNOWN
12334,12451,UNKNOWN
12502,12569,UNKNOWN
12571,12694,ROSS
12713,12739,UNKNOWN
12739,12765,RACHEL
12787,12833,ROSS
12860,12884,RACHEL
12886,13064,ROSS
13064,13102,UNKNOWN
13143,13203,RACHEL
13203,13263,ROSS
13288,13324,UNKNOWN
13324,13484,ROSS
13532,13556,RACHEL
13557,13710,ROSS
13710,13749,UNKNOWN
13767,13820,UNKNOWN
13888,13937,RACHEL
13940,13986,ROSS
14418,14464,PHOEBE
14535,14585,PHOEBE
14588,14683,DUNCAN
14683,14709,PHOEBE
14847,14922,DUNCAN
14948,15007,UNKNOWN
15007,15066,UNKNOWN
15093,15141,PHOEBE
15159,15214,DUNCAN
15261,15417,PHOEBE
15417,15453,DUNCAN
15501,15545,PHOEBE
15596,15644,DUNCAN
15666,15689,UNKNOWN
15711,15735,PHOEBE
15762,15807,DUNCAN
15902,15928,UNKNOWN
16048,16118,UNKNOWN
16310,16323,UNKNOWN
16323,16337,CHANDLER
16360,16502,JULIE
16504,16550,CHANDLER
16603,16694,ALL
16696,16771,ROSS
16790,16865,RACHEL
16985,17032,ROSS
17033,17102,RACHEL
17126,17161,UNKNOWN
17161,17197,UNKNOWN
17198,17234,UNKNOWN
17234,17270,UNKNOWN
17462,17583,UNKNOWN
17652,17677,CHANDLER
17701,17823,ROSS
17894,17965,JOEY
17966,18017,RACHEL
18087,18255,ROSS
18255,18305,UNKNOWN
18353,18389,UNKNOWN
18389,18425,UNKNOWN
18495,18532,UNKNOWN
18532,18569,RACHEL
18736,18832,MONICA
18851,18881,UNKNOWN
18901,18976,JULIE
19023,19090,CHANDLER
19091,19165,MONICA
19214,19356,ROSS
19356,19405,UNKNOWN
19431,19498,UNKNOWN
19574,19618,UNKNOWN
19619,19656,UNKNOWN
19656,19693,UNKNOWN
19741,19768,JOEY
19786,19864,CHANDLER
19909,19946,UNKNOWN
19946,19984,UNKNOWN
20170,20205,UNKNOWN
20205,20241,UNKNOWN
20386,20435,PHOEBE
20438,20558,DUNCAN
20579,20649,PHOEBE
20651,20675,DUNCAN
20678,20821,PHOEBE
20918,20964,UNKNOWN
20964,21009,DUNCAN
21011,21073,UNKNOWN
21073,21134,UNKNOWN
21153,21299,PHOEBE
21324,21373,DUNCAN
21419,21494,PHOEBE
21516,21584,UNKNOWN
21586,21635,UNKNOWN
21635,21685,UNKNOWN
21775,21829,DUNCAN
21871,21901,PHOEBE
21970,22041,DUNCAN
22088,22292,PHOEBE
22292,22380,UNKNOWN
22400,22450,UNKNOWN
22450,22500,UNKNOWN
22546,22569,DUNCAN
22570,22665,PHOEBE
22740,22857,DUNCAN
22857,22905,UNKNOWN
22906,22942,UNKNOWN
22942,22978,UNKNOWN
23098,23147,PHOEBE
23194,23288,DUNCAN
23358,23409,UNKNOWN
23478,23526,MONICA
23574,23626,JULIE
23646,23694,CHANDLER
23696,23766,JOEY
23793,23842,Come on, it's only 1 1
23862,23909,UNKNOWN
23909,23957,UNKNOWN
23960,24011,RACHEL
24056,24126,MONICA
24153,24197,RACHEL
24201,24347,JULIE
24366,24425,UNKNOWN
24425,24484,UNKNOWN
24487,24537,UNKNOWN
24538,24585,RACHEL
24607,24633,UNKNOWN
24676,24753,JULIE
24754,24821,RACHEL
24870,24921,JOEY
24993,25016,UNKNOWN
25036,25113,MONICA
25137,25180,RACHEL
25281,25349,UNKNOWN
25354,25493,PHOEBE
25522,25636,DUNCAN
25638,25698,UNKNOWN
25698,25794,UNKNOWN
25794,25830,UNKNOWN
25877,25900,UNKNOWN
25903,25963,UNKNOWN
25963,26023,UNKNOWN
26045,26097,PHOEBE
26450,26594,DUNCAN
26647,26792,UNKNOWN
26815,26859,JULIE
26862,26930,RAHCEL
27003,27053,JULIE
27055,27098,RACHEL
27221,27291,RACHEL
27319,27342,JOEY
27433,27508,ROSS
27534,27577,RACHEL
27602,27652,ROSS
27721,27750,RACHEL
27794,27845,ROSS
27846,27894,UNKNOWN
27894,27942,UNKNOWN
27966,28107,RACHEL
28134,28180,ROSS
28249,28272,RAHCEL
28276,28405,ROSS
28405,28514,UNKNOWN
28514,28562,UNKNOWN
28611,28659,RACHEL
28708,28777,ROSS
28779,28970,RACHEL
28970,29017,UNKNOWN
29019,29090,UNKNOWN
29137,29185,UNKNOWN
29190,29236,UNKNOWN
29257,29309,UNKNOWN
29360,29501,ROSS
29523,29569,RACHEL
29571,29598,UNKNOWN
29644,29778,ROSS
29778,29838,UNKNOWN
29859,29895,UNKNOWN
29895,29931,RACHEL
30002,30078,ROSS
30098,30136,UNKNOWN
30136,30222,UNKNOWN
30292,30388,UNKNOWN
30412,30472,UNKNOWN
30472,30532,UNKNOWN
30552,30687,UNKNOWN
30687,30796,UNKNOWN
30960,31130,ROSS
31130,31176,UNKNOWN
31228,31445,UNKNOWN
31517,31583,UNKNOWN
31752,31801,RACHEL
31896,31942,ROSS
32306,32350,UNKNOWN
32374,32472,ROSS
32549,32613,OLD WOMAN
